College,Date of Birth,Height,Name,Nationality,Number,Position,Team,Text,URL,Weight,Years
Georgia,1998-12-15,"5' 11"" (1.8m)","Caldwell, Maya",United States,33,G,Atlanta Dream,"American basketball player (born 1998) Maya Caldwell Caldwell with the Atlanta Dream in 2024 No. 33 - Atlanta Dream Position Guard League WNBA Personal information Born ( 1998-12-15 ) December 15, 1998 (age 26) Charlotte, North Carolina , U.S. Listed height 5 ft 11 in (1.80 m) Listed weight 160 lb (73 kg) Career information High school Davidson Day School ( Davidson, North Carolina ) College Georgia (2017-2021) WNBA draft 2021 : 3rd round, 33rd overall pick Drafted by Indiana Fever Playing career 2021-present Career history 2021-2022 Spar Gran Canaria 2022 Atlanta Dream 2022 Maccabi Ironi Ramat Gan 2023 Indiana Fever 2023 Bogazici Basketbol Bursa 2024 -present Atlanta Dream 2024-2025 Uni Girona CB Stats at Basketball Reference Maya Caldwell (born December 15, 1998) is an American professional basketball player who currently plays for the Atlanta Dream of the WNBA . She played college basketball at Georgia . College career [ edit ] Caldwell came out of high school as the 76th overall ranked recruit according to the ESPN HoopGurlz Rankings. [ 1 ] Caldwell committed to Georgia to play collegiately. She stated that part of the reason for choosing the Bulldogs program was that ""Athens just felt like home...If I didn't have basketball, where would I want to be?' Athens was the place."" [ 2 ] Caldwell played in all 33 games as a freshman and led the team in 3-point field goal percentage. She scored a season high 20 points against Howard on December 19, 2017. With those 20 points, she became the first Bulldog player to score 20 points as a freshman since 2014. [ 3 ] [ 4 ] During her sophomore season, Caldwell came off the bench again until the last 10 games of the season - when she became the team's starting forward. Once inserted into the starting lineup, Caldwell increased her scoring to 9.0 ppg from 3.4 ppg. During her junior and senior seasons, Caldwell stayed in the starting lineup and became a solid, consistent player for Georgia. During her senior season, Caldwell scored a career high 27 points against Florida. [ 5 ] She was also named to the SEC All-Tournament Team in 2021. Professional career [ edit ] WNBA [ edit ] Indiana Fever [ edit ] In the 2021 WNBA draft , Caldwell was taken 33rd overall by the Indiana Fever . [ 6 ] Caldwell made it through a week of training camp before getting cut from the Fever. [ 7 ] Atlanta Dream [ edit ] On February 23, 2022, Caldwell signed a training camp contract with the Atlanta Dream . [ 8 ] On May 5, 2022, Caldwell was waived from the Dream training camp. [ 9 ] On June 20, 2022, Caldwell was brought back to the Dream on a hardship contract. [ 10 ] After appearing in 3 games for the Dream, Caldwell was released from her Hardship Contract on June 27, 2022. The Dream re-signed Caldwell on June 26, 2024. [ 11 ] Overseas [ edit ] Gran Canaria [ edit ] Caldwell played the 2021-2022 season in Spain for Spar Gran Canaria . She averaged 15.5 points, 5.1 rebounds, 1.8 assists, and 1.5 steals in 26 games for them. [ 12 ] Career statistics [ edit ] Legend GP Games played GS Games started MPG Minutes per game RPG Rebounds per game APG Assists per game SPG Steals per game BPG Blocks per game PPG Points per game TO Turnovers per game FG% Field-goal percentage 3P% 3-point field-goal percentage FT% Free-throw percentage Bold Career best degrees League leader WNBA [ edit ] Regular season [ edit ] Stats current through end of 2024 season WNBA regular season statistics Year Team GP GS MPG FG% 3P% FT% RPG APG SPG BPG TO PPG 2021 Did not play (waived) 2022 Atlanta 9 7 23.8 .514 .563 .800 2.4 2.2 0.8 0.2 1.6 10.9 2023 Indiana 30 1 10.1 .292 .138 .857 0.9 0.6 0.3 0.1 0.7 1.9 2024 Atlanta 25 6 16.2 .416 .300 .800 1.8 1.1 0.6 0.2 0.9 5.2 Career 3 years, 2 teams 64 14 14.4 .410 .333 .824 1.5 1.0 0.5 0.2 1.1 4.5 Playoffs [ edit ] WNBA playoff statistics Year Team GP GS MPG FG% 3P% FT% RPG APG SPG BPG TO PPG 2024 Atlanta 2 0 9.0 .250 .000 -- 1.5 1.0 1.0 0.5 0.0 1.0 Career 1 year, 1 team 2 0 9.0 .250 .000 -- 1.5 1.0 1.0 0.5 0.0 1.0 College [ edit ] NCAA statistics [ 13 ] Year Team GP Points FG% 3P% FT% RPG APG SPG BPG PPG 2017-18 Georgia 33 142 .417 .404 .600 2.1 0.6 0.3 0.1 4.2 2018-19 Georgia 30 161 .429 .216 .520 3.0 1.1 0.9 0.3 5.4 2019-20 Georgia 31 303 .414 .269 .792 3.7 2.2 1.4 0.2 9.8 2020-21 Georgia 28 232 .401 .309 .787 3.6 1.9 0.9 0.3 8.3 References [ edit ] External links [ edit ] Career statistics from WNBA.com · Basketball Reference Georgia Bulldogs bio Retrieved from "" https://en.wikipedia.org/w/index.php?title=Maya_Caldwell&oldid=1300886808 """,https://en.wikipedia.org/wiki/Maya_Caldwell,160 lb (73kg),3
UCLA,1995-08-11,"5' 6"" (1.68m)","Canada, Jordin",United States,3,G,Atlanta Dream,"American basketball player (born 1995) Jordin Canada Canada in 2019 No. 3 - Atlanta Dream Position Point guard League WNBA Personal information Born ( 1995-08-11 ) August 11, 1995 (age 29) Los Angeles, California , U.S. Listed height 5 ft 6 in (1.68 m) Listed weight 135 lb (61 kg) Career information High school Windward School (Los Angeles, California) College UCLA (2014-2018) WNBA draft 2018 : 1st round, 5th overall pick Drafted by Seattle Storm Playing career 2018-present Career history 2018 - 2021 Seattle Storm 2018-2019 Wisła Can-Pack Kraków 2020-2021 Hatay BB 2022 - 2023 Los Angeles Sparks 2023-2024 Melbourne Boomers 2023 Athletes Unlimited League 2024 -present Atlanta Dream 2025 -present Vinyl BC Career highlights 2× WNBA champion ( 2018 , 2020 ) 2× WNBA steals leader (2019, 2023) 2× WNBA All-Defensive First Team (2019, 2023) Commissioner's Cup champion ( 2021 ) WNBL Most Valuable Player ( 2024 ) All-WNBL First Team ( 2024 ) Third-team All-American - AP (2018) All-American - USBWA (2018) Pac-12 Defensive Player of the Year (2018) 3x All Pac-12 (2016-2018) 3x All Pac-12 Defensive Team (2016-2018) Pac-12 Freshman of the Year (2015) Pac-12 All-Freshman Team (2015) McDonald's All-American ( 2014 ) Stats at WNBA.com Stats at Basketball Reference Medals Women's basketball Representing the United States Women's basketball FIBA AmeriCup 2019 Puerto Rico Team 2015 Summer Universiade 2015 Gwangju Team FIBA Americas Under-16 Championship 2011 Mexico Team Jordin Elizabeth Canada (born August 11, 1995) is an American professional basketball player for the Atlanta Dream of the Women's National Basketball Association (WNBA). She was selected by the Seattle Storm with the 5th overall pick in the 2018 WNBA draft . Born and raised in Los Angeles , Canada played collegiately with the UCLA Bruins . [ 1 ] She is known for her playmaking, speed and crossover skills. [ 2 ] In her rookie season with the Storm, she won her first WNBA championship as they swept the Washington Mystics . In 2020, after winning her second WNBA championship, she signed an endorsement deal with Air Jordan . [ 3 ] Early life [ edit ] Canada was born in Los Angeles, California, and attended Windward School, where she played for Vanessa Nygaard , a former WNBA player and coach in the USA Basketball program. She earned first-team All League, League MVP, and first-team All-CIF honors in all four years of high school, brought home the Los Angeles Times' All-Area MVP in 2013, and played in the McDonald's All-American Game as a senior in 2014. College career [ edit ] Canada started as soon as she got to Westwood, notching a 15-point, 10-rebound double-double in her first career game. [ 4 ] She went on to start 30 games in the 2014-15 season, reaching double figures 25 times leading the Bruins in assists per game. The Bruins missed the NCAA Tournament but earned a bid to the 2015 WNIT; UCLA won the tournament, which Canada scoring a career-high 31 points (half of the Bruins' scoring) in a 62-60 win in the finals against West Virginia. [ 5 ] She earned tournament MVP honors, along with being named Pac-12 Freshman of the Year. [ 6 ] She started 34 games as a sophomore, finishing second in the Pac-12 in assists per game (5.7) and steals per game (2.3), and also led UCLA in minutes and scoring. Canada led UCLA in minutes and scoring, and the Bruins went 22-7 in the regular season, made the 2016 NCAA tournament as a No. 3 seed, and advanced to the Sweet Sixteen for the first time since 1999. [ 7 ] She was named All-Pac-12 and earned a spot on the Pac-12 All-Defensive team, and was an AP All-American honorable mention. As a junior, Canada continued to grow in to one of the best point guards in the country. She notched her first career triple-double with 11 points, 12 assists, and 10 rebounds against Southern on Nov. 18, 2016, and nearly did it again two days later, finishing with 19 points, 10 rebounds, and nine assists against Cal Poly. Canada scored in double-digits in all but one game in the season, and finished with two points/rebounds double-doubles and six points/assists double-doubles, including three straight in UCLA's run to the Sweet Sixteen in the 2017 NCAA tournament . She earned All-Pac-12, All-Pac-12 defensive, and AP All-American honorable mention honors, and was named Pac-12 Defensive Player of the Year. [ 6 ] Canada opened her senior season with another triple-double, logging 26 points, 10 assists, and 11 steals against San Jose State. Once again, she led the Bruins in scoring, assists, and minutes, and UCLA made its third straight NCAA Tournament, this time advancing to the Elite Eight, where it lost to eventual champions Mississippi State. [ 8 ] Canada finished her career first in UCLA history in assists (831) second in points (2,153), third in field goals made (768), second in free throws made (518), third in steals (347), and fifth in 20-point games (42). She holds three of the top five seasons for assists in UCLA history. [ 9 ] Professional career [ edit ] WNBA [ edit ] The Seattle Storm took Canada with the fifth overall pick in the 2018 WNBA draft , making her Sue Bird's back-up at point guard. [ 10 ] She played in 33 games in her rookie season, making two starts and averaging 5.7 points and 3.3 assists in 16.5 minutes per game. [ 11 ] The Storm were championship contenders as they finished the season 26-8 with the number 1 seed, receiving a double bye to the semi-finals. In the semi-finals, the Storm defeated the Phoenix Mercury in a hard-fought five-game series to advance to the WNBA Finals. In the Finals, the Storm would win the championship after defeating the Washington Mystics in a three-game sweep, Canada had increased her offensive game off the bench during the postseason to contribute to the Storm's success of winning the 2018 WNBA championship. With Bird needing to undergo season-ending knee surgery just before the 2019 season began, Canada found herself as Seattle's starting point guard in her second year. [ 12 ] Starting in 29 games, her scoring jumped up to 9.8 points per game. She logged her first professional double-double on July 12, 2019 against the Dallas Wings, scoring 14 points and adding 12 assists. She finished the season second in the WNBA in assists and first in steals, earning a spot on the WNBA All-Defensive Team . [ 11 ] The Storm finished as the number 6 seed with a 18-16 record being shorthanded with Sue Bird and Breanna Stewart sitting out the season due to injury. They would win the first round elimination game 84-74 against the Minnesota Lynx , but would lose the second round elimination to the Los Angeles Sparks by a score of 92-69. In the 2020 season, Canada would revert to playing back-up point guard with Bird returning after knee surgery. The season was delayed and shortened to 22 games in a bubble at IMG Academy due to the COVID-19 pandemic . Canada started in 11 of 20 games played due to Bird's absence during the season dealing with her knee injury. With a fully loaded roster, the Storm finished 18-4 with the number 2 seed, receiving a double bye to the semi-finals. In the semi-finals, they would eliminate the Minnesota Lynx in a three-game sweep, advancing back to the Finals for the second time in three years. In the Finals, the Storm would sweep the Las Vegas Aces to win the championship, ending off their postseason undefeated and also earning Canada her second championship in her first three seasons. In February 2022, Canada signed a contract with the Los Angeles Sparks. [ 13 ] [ 14 ] On February 1, 2024, Canada was traded to the Atlanta Dream alongside the 12th pick in the 2024 WNBA draft in exchange for Aari McDonald and the 8th pick. Overseas [ edit ] In 2018, Canada signed with Wisła Can-Pack Kraków of the Polish League for the 2018-19 off-season. [ 15 ] In December 2020, Canada signed with Hatay BB of the Turkish league for the 2020-21 off-season. [ 16 ] Canada was named WNBL Most Valuable Player playing for the Melbourne Boomers in the 2023-24 WNBL season . [ 17 ] Athletes Unlimited [ edit ] Canada appeared in Athletes Unlimited Pro Basketball in 2023 , finishing 6th on the season. Unrivaled [ edit ] On November 18, 2024, it was announced that Canada would appear and play in the inaugural 2025 season of Unrivaled , the women's 3-on-3 basketball league founded by Napheesa Collier and Breanna Stewart . [ 18 ] She plays on Vinyl . International career [ edit ] Canada has been a part of USA Basketball since 2011, when she was part of the U16 National Team that won gold at the FIBA Americas U16 Championship. She won another gold medal at the 2015 World University Games, and helped the U23 National Team win the first-ever U24 Four Nations Tournament in 2017. Canada was a part of the USA team that won the 2019 AmeriCup, leading the team with 5.3 assists per game and adding 7.2 points per game. After the AmeriCup, she was named to the USA National Team Pool. [ 6 ] Career statistics [ edit ] Legend GP Games played GS Games started MPG Minutes per game RPG Rebounds per game APG Assists per game SPG Steals per game BPG Blocks per game PPG Points per game TO Turnovers per game FG% Field-goal percentage 3P% 3-point field-goal percentage FT% Free-throw percentage Bold Career best degrees League leader WNBA [ edit ] † Denotes seasons in which Canada won a WNBA championship Regular season [ edit ] Stats current through end of 2024 season WNBA regular season statistics Year Team GP GS MPG FG% 3P% FT% RPG APG SPG BPG TO PPG 2018 † Seattle 33 2 16.5 .357 .182 .738 1.5 3.3 0.9 0.0 1.7 5.7 2019 Seattle 30 29 28.8 .388 .186 .768 2.4 5.2 2.3 0.2 2.6 9.8 2020 † Seattle 20 11 24.2 . 424 .091 .772 2.3 5.5 1.5 0.0 2.0 7.9 2021 Seattle 29 3 18.7 .389 .214 .841 2.3 3.0 0.7 0.1 1.1 5.8 2022 Los Angeles 32 25 27.0 .384 .140 .806 2.3 5.5 1.4 0.2 2.3 9.2 2023 Los Angeles 38 38 32.6 .404 .333 .873 3.1 6.0 2.3 degrees 0.2 2.7 13.3 2024 Atlanta 20 18 31.2 .390 .281 .781 3.5 5.8 1.6 0.3 2.1 10.6 Career 7 years, 3 teams 202 126 25.5 .391 .244 .809 2.4 4.9 1.5 0.2 2.1 9.0 Playoffs [ edit ] WNBA playoff statistics Year Team GP GS MPG FG% 3P% FT% RPG APG SPG BPG TO PPG 2018 † Seattle 8 0 13.6 .477 . 364 .600 1.1 2.3 0.4 0.0 1.5 6.1 2019 Seattle 2 2 33.0 .405 .200 .714 3.5 5.5 1.0 0.0 2.0 18.0 2020 † Seattle 6 0 15.5 .545 .000 .667 1.8 1.3 0.5 0.0 0.3 7.0 2021 Seattle 1 0 10.0 .000 -- 1.000 0.0 2.0 1.0 0.0 3.0 6.0 2024 Atlanta 2 2 27.0 .417 .250 .000 1.0 7.5 0.5 0.0 3.5 5.5 Career 5 years, 2 teams 19 4 17.5 .457 .261 .690 1.5 2.8 0.5 0.0 1.5 7.6 College [ edit ] NCAA statistics [ 19 ] Season College GP GS MPG FG% 3PT% FT% REB AST STL BLK Points PPG 2014-15 UCLA 34 30 30.1 .376 .130 .775 116 148 69 3 402 11.8 2015-16 UCLA 34 34 34.2 .406 .262 .764 134 193 79 2 549 16.1 2016-17 UCLA 34 32 34.5 .434 .354 .834 176 242 85 2 606 17.8 2017-18 UCLA 35 35 33.7 .435 .386 .804 131 248 114 1 596 17.0 Career 137 131 33.1 .415 .332 .794 557 831 347 8 2153 15.7 References [ edit ] External links [ edit ] Wikimedia Commons has media related to Jordin Canada . Career statistics from WNBA.com · Basketball Reference UCLA Bruins bio Retrieved from "" https://en.wikipedia.org/w/index.php?title=Jordin_Canada&oldid=1289918247 """,https://en.wikipedia.org/wiki/Jordin_Canada,135 lb (61kg),7
Northwestern,1995-06-11,"6' 1"" (1.85m)","Coffey, Nia",United States,12,F,Atlanta Dream,"American basketball player (born 1995) Nia Coffey Coffey with the Atlanta Dream in 2023 No. 12 - Atlanta Dream Position Small forward League WNBA Personal information Born ( 1995-06-11 ) June 11, 1995 (age 30) Saint Paul, Minnesota , U.S. Listed height 6 ft 1 in (1.85 m) Listed weight 182 lb (83 kg) Career information High school Hopkins ( Minnetonka, Minnesota ) College Northwestern (2013-2017) WNBA draft 2017 : 1st round, 5th overall pick Drafted by San Antonio Stars Playing career 2017-present Career history 2017 - 2018 San Antonio Stars / Las Vegas Aces 2017-2018 Maccabi Ramat Gan 2018-2019 Adelaide Lightning 2019 Arka Gdynia 2019 Atlanta Dream 2019 Çukurova Basketbol 2020 Phoenix Mercury 2021 Maccabi Haifa 2021 Los Angeles Sparks 2021-2022 Flammes Carolo Basket Ardennes 2022 -present Atlanta Dream 2025 Townsville Fire Career highlights 4× First-team All- Big Ten (2014-2017) Big Ten All-Freshman Team (2014) McDonald's All-American ( 2013 ) Stats at WNBA.com Stats at Basketball Reference Medals Women's basketball Representing the United States FIBA Under-19 World Cup 2013 Lithuania Team Nia Coffey (born June 11, 1995) is an American professional basketball player with the Atlanta Dream of the Women's National Basketball Association (WNBA). A small forward , she was drafted with the fifth overall pick in the 2017 WNBA draft , which is the highest of any Northwestern basketball player in school history. [ 1 ] Coffey went to Hopkins High School in Minnetonka, Minnesota where she was a McDonald's All-American . [ 2 ] She is the daughter of former NBA player, Richard Coffey , and the sister of NBA player, Los Angeles Clipper Amir Coffey . [ 3 ] College career [ edit ] Nia Coffey Entered her first year at Northwestern as the starting Power Forward. On November 5, 2013, she made her collegiate debut recording 14 pts, 6 Rebounds, 4 Assists and 2 blocks in a 98-57 win over Lewis University . [ 4 ] At the end of her freshman season she was the first player in Northwestern History to be named first team all Big Ten as a freshman. [ 5 ] On January 29, 2015, Coffey hit her career high of 35 points in a 102-99 loss against Iowa [ 6 ] In Her Junior Season she broke the Northwestern Wildcats women's basketball record for most rebounds in a season with 344. Which she held until the 2017-2018 season. [ 7 ] She ended that season as an Honorable Mention for a spot on the WBCA All American Team and on the AP All American Team [ 5 ] In her Senior Season Coffey Broke the NU Records for most Consecutive Games scoring in Double Figures, Total Rebounds, Free Throws Made, Free Throw Attempts and FGA in a career. She received another Honorable Mention for the AP All American Team. [ 8 ] Nia Coffey ended her career as the first Player in NU history to make the All Big Ten First Team (Coaches) in all 4 years of playing. She also made All Big Ten First Team (Media) in her final 3 seasons. Coffey Led NU in scoring and rebounding for all 4 years of her career. [ 8 ] Professional career [ edit ] WNBA [ edit ] San Antonio Stars / Las Vegas Aces [ edit ] On April 13, 2017, Coffey was drafted by the San Antonio Stars with the 5th pick of the 2017 WNBA Draft . [ 9 ] This was the highest any NU Basketball player had ever been drafted. She made her debut on May 13, 2017, in the season opener against the New York Liberty [ 10 ] On May 27, 2018, she scored her career high of 23 points in a 98-103 loss against the Seattle Storm . [ 11 ] Atlanta Dream (first stint) [ edit ] on April 11, 2019, she was traded to the Atlanta Dream in a 3 team trade where the Aces received Sugar Rodgers . [ 12 ] Phoenix Mercury [ edit ] On February 19, 2020, Coffey was traded to the Phoenix Mercury as part of a three-team trade. [ 13 ] On February 10, 2021, Coffey was waived. [ 14 ] Los Angeles Sparks [ edit ] On March 4, 2021, Coffey was signed to the Los Angeles Sparks [ 15 ] On June 1, 2021, she got a career-high 6 blocks in a game against the Dallas Wings [ 16 ] This season Coffey scored a Career High 8.3 PPG and also received a career high in minutes. Atlanta Dream (second stint) [ edit ] On February 1, 2022, Coffey Signed a 1-year deal with the Dream. [ 17 ] On February 1, 2023, Coffey Re-Signed a 2nd 1-year deal with the dream. [ 18 ] On February 1, 2024, Coffey Re-Signed with the dream on a 2-year contract. [ 19 ] Overseas [ edit ] Coffey played for Maccabi Ramat Gan of the Israeli Female Basketball Premier League in the 2017-2018 season. [ 20 ] Coffey played for the Adelaide Lightning of the Women's National Basketball League (WNBL) in the 2018-19 WNBL season . [ 21 ] Coffey joined Arka Gdynia of the Basket Liga Kobiet in February 2019. [ 22 ] Coffey played for Çukurova Basketbol of the Women's Basketball Super League from October to November 2019. [ 23 ] In January 2021, Coffey signed with Maccabi Haifa of the Israeli Premier League. [ 24 ] Coffey played for Flammes Carolo Basket Ardennes of the Ligue Féminine de Basketball in the 2021-2022 season. [ 25 ] In January 2025, Coffey signed with the Townsville Fire of the WNBL. [ 26 ] National career [ edit ] Coffey played for Team USA in the 2013 Fiba Under 19 World Championship for Women. She broke the Team USA record for most free throws without a miss in the U19 tournament with 11. [ 27 ] Career statistics [ edit ] WNBA [ edit ] Legend GP Games played GS Games started MPG Minutes per game RPG Rebounds per game APG Assists per game SPG Steals per game BPG Blocks per game PPG Points per game TO Turnovers per game FG% Field-goal percentage 3P% 3-point field-goal percentage FT% Free-throw percentage Bold Career best degrees League leader Regular season [ edit ] Stats current through end of 2024 season WNBA regular season statistics [ 28 ] Year Team GP GS MPG FG% 3P% FT% RPG APG SPG BPG TO PPG 2017 San Antonio 27 1 7.8 .271 .000 .727 1.9 0.2 0.2 0.2 0.6 1.8 2018 Las Vegas 28 10 13.8 .380 .400 .618 2.4 0.6 0.3 0.2 1.4 5.3 2019 Atlanta 28 6 13.9 .338 .379 .548 2.8 0.4 0.5 0.5 0.8 5.0 2020 Phoenix 15 1 15.3 .421 .333 .167 2.5 0.8 0.3 0.3 0.5 2.7 2021 Los Angeles 32 degrees 17 25.2 .421 .417 .778 3.8 0.9 0.8 1.2 1.4 8.3 2022 Atlanta 16 16 21.0 .347 .290 .742 5.2 0.8 0.6 0.1 2.2 6.4 2023 Atlanta 31 31 21.9 .432 .402 .625 4.8 1.5 0.5 1.2 1.5 6.9 2024 Atlanta 40 11 13.3 .324 .273 .762 2.4 1.2 0.3 0.7 1.0 3.3 Career 8 years, 4 teams 217 93 16.4 .377 .364 .656 3.1 0.8 0.5 0.6 1.1 5.0 Playoffs [ edit ] WNBA playoff statistics Year Team GP GS MPG FG% 3P% FT% RPG APG SPG BPG TO PPG 2024 Atlanta 2 0 11.0 .333 .250 -- 2.0 1.0 0.0 0.5 0.5 3.5 Career 1 year, 1 team 2 0 11.0 .333 .250 -- 2.0 1.0 0.0 0.5 0.5 3.5 College [ edit ] NCAA statistics [ 29 ] Year Team GP Points FG% 3P% FT% RPG APG SPG BPG PPG 2013-14 Northwestern 32 490 46.4% 31.3% 66.9% 8.1 2.1 1.7 1.8 15.3 2014-15 Northwestern 32 505 44.0% 32.8% 62.1% 8.7 1.7 1.7 1.8 15.8 2015-16 Northwestern 35 711 43.2% 31.4% 62.5% 9.8 2.1 1.1 2.1 20.3 2016-17 Northwestern 29 581 42.9% 28.0% 71.2% 10.4 2.7 1.2 1.4 20.0 Career 128 2287 44.0% 30.7% 65.9% 9.2 2.1 1.4 1.8 17.9 References [ edit ] External links [ edit ] Wikimedia Commons has media related to Nia Coffey . Career statistics from WNBA.com · Basketball Reference Northwestern Wildcats bio USA Basketball bio Retrieved from "" https://en.wikipedia.org/w/index.php?title=Nia_Coffey&oldid=1300523466 """,https://en.wikipedia.org/wiki/Nia_Coffey,182 lb (83kg),8
